,Area (km^2),Population,Population Density (/km^2),Letters in capital,Language
Andhra Pradesh,"162,970","49,386,799",308,10,1
Arunachal Pradesh,"83,743","1,382,611",17,8,1
Assam,"78,438","31,205,576",397,6,1
Bihar,"94,163","103,804,637","1,102",5,1
Chhattisgarh,"135,191","25,545,198",190,6,1
Goa,"3,702","1,458,545",394,6,5
Gujarat,"196,024","60,383,628",308,11,1
Haryana,"44,212","25,353,081",573,10,2
Himachal Pradesh,"55,673","6,864,602",123,6,2
Jammu & Kasmir,"222,236","12,541,302",56,9,6
Jharkhand,"79,714","32,988,134",414,6,1
Karnataka,"191,791","61,130,704",320,9,1
Kerala,"38,863","33,387,677",860,18,2
Madhya Pradesh,"308,252","72,626,809",236,6,1
Maharasthra,"307,713","112,372,972",370,6,1
Manipur,"22,327","2,855,794",130,6,1
Meghalaya,"22,429","2,964,007",130,8,1
Mizoram,"21,087","1,091,014",52,6,3
Nagaland,"16,579","1,980,602",119,6,1
Odisha,"155,707","41,974,218",270,11,1
Punjab,"50,362","27,704,236",550,10,1
Rajasthan,"342,239","68,548,437",200,6,2
Sikkim,"7,096","610,577",86,7,12
Tamil Nadu,"130,060","72,147,030",550,7,2
Telegana,"112,077","35,193,978",307,9,2
Tripura,"10,491.69","3,671,032",350,8,3
Uttarakhand,"53,483","10,086,292",189,8,2
Uttar Pradesh,"243,290","199,812,341",820,7,2
West Bengal,"88,752","91,347,736","1,029",7,12
